Woord;Omschrijving;Voorbeeldzin 1;Voorbeeldzin 2;Voorbeeldzin 3;Les
Associëren ;linken leggen, Een verband of verbinding leggen tussen twee begrippen.;Ik {{associeer}} de herfst altijd met warme chocolademelk.; Veel mensen {{associëren}} rood met gevaar of verbod.; Hij {{associeert}} die melodie met zijn kinderjaren op het platteland.;Les 21
Behoren tot;Deel uitmaken van een groep of categorie.;Dit dier {{behoort tot}} de zoogdieren.; Jazz {{behoort tot}} de belangrijkste muzikale erfenissen van de twintigste eeuw.; Dit kunstwerk {{behoort tot}} de meest waardevolle stukken van het museum.;Les 21
Belichten ;de nadruk leggen, Aandacht besteden aan een bepaald aspect.;In zijn speech {{belichtte}} hij de positieve kanten van het plan.; De documentaire {{belicht}} de vergeten rol van vrouwen in de Tweede Wereldoorlog.; Het rapport {{belicht}} de gevolgen van armoede op de gezondheid van kinderen.;Les 21
Beslechten ;uitpraten, Een conflict of discussie tot een einde brengen.;Ze besloten het conflict te {{beslechten}} via bemiddeling.; De scheidsrechter moest het geschil tussen de twee teams {{beslechten}}.; Beide landen kozen voor diplomatie om het grensconflict te {{beslechten}}.;Les 21
Essentie ;het belangrijkste, De kern of het meest wezenlijke van iets.;De {{essentie}} van zijn betoog was heel duidelijk.; Je moet door de details heen kunnen lezen om de {{essentie}} te vatten.; De {{essentie}} van zijn argument was dat vrijheid ook verantwoordelijkheid inhoudt.;Les 21
Pleidooi;Een betoog of verdediging van een standpunt.;De advocaat hield een indrukwekkend {{pleidooi}}.; De milieuactivist hield een emotioneel {{pleidooi}} voor het behoud van het regenwoud.; De schrijver hield in zijn essay een warm {{pleidooi}} voor meer verbeeldingskracht in het onderwijs.;Les 21
Omzetten;Iets veranderen of in een andere vorm brengen.;Ze {{zette}} het recept {{om}} naar een vegetarische versie.; De ingenieur {{zette}} de blauwdruk {{om}} in een werkend prototype.; Ze {{zette}} haar frustratie {{om}} in creatieve energie.;Les 21
Overeenstemmen;Kloppen of in lijn zijn met iets anders.;Zijn verhaal {{stemt overeen}} met de feiten.; De resultaten van beide studies {{stemmen}} opvallend goed {{overeen}}.; Zijn beschrijving {{stemt}} niet {{overeen}} met wat de getuigen hebben verklaard.;Les 21
Overheersen;Het sterkst aanwezig zijn, domineren.;In dit schilderij {{overheerst}} de kleur blauw.; Tijdens de vergadering {{overheerste}} een gevoel van onzekerheid.; Bij jonge kinderen {{overheerst}} vaak de neiging om direct te reageren zonder na te denken.;Les 21
Relevant;Van belang of toepasbaar op een situatie.;Dat is een {{relevante}} opmerking voor ons onderzoek.; Niet alle informatie die je vindt, is even {{relevant}} voor jouw onderzoeksvraag.; Of die informatie {{relevant}} is, hangt af van je onderzoeksvraag.;Les 21
Structureren;Iets ordenen of een duidelijke opbouw geven.;Het is belangrijk om je tekst goed te {{structureren}} .; Voor je begint te schrijven, helpt het om je gedachten te {{structureren}}.; Hij had moeite om zijn gedachten te {{structureren}} tijdens het mondeling examen.;Les 21
Verifiëren ;controleren / nagaan, Nagaan of iets klopt of juist is.;Je moet altijd je bronnen {{verifiëren}}.; Een goede journalist {{verifieert}} elke bewering bij meerdere onafhankelijke bronnen.; Voor je iets deelt op sociale media, moet je het eerst {{verifiëren}}.;Les 21
Wakkere ;sterke, Krachtig, levendig of energiek.;Ze had een {{wakkere}} persoonlijkheid die iedereen opviel.; De {{wakkere}} detective merkte meteen de tegenstrijdigheid in het verhaal.; Met een {{wakkere}} blik nam ze de situatie snel in zich op.;Les 25
Staag ;zonder stoppen, Voortdurend, onophoudelijk.;Het regende {{staag}} de hele dag.; De klok tikte {{staag}} verder terwijl hij wachtte op het verdict.; De tranen biggelden haar {{staag}} over de wangen.;Les 25
Het zeil strijken ;voor iemand onderdoen, Toegeven aan iemand, bakzeil halen.;Uiteindelijk moest hij {{het zeil strijken}} voor zijn tegenstander en legde zich er dus bij neer.; Na uren onderhandelen moest de vakbond toch {{het zeil strijken}}.; Hij wilde blijven vechten, maar moest uiteindelijk toch {{het zeil strijken}}.;Les 25
Woelen ;onrustig zijn, Rusteloos bewegen, niet stil kunnen liggen.;Ze {{woelde}} de hele nacht in bed.; De patiënt {{woelde}} onrustig in zijn ziekenhuisbed.; De kinderen {{woelden}} door de speelgoeddoos op zoek naar de juiste bouwsteen.;Les 25
Verdrijven ;wegjagen, Iets of iemand doen weggaan, verjagen.;Een wandeling kan sombere gedachten {{verdrijven}}.; Muziek kan de stilte en eenzaamheid {{verdrijven}}.; Een goed boek kan de verveling van een lange treinrit {{verdrijven}}.;Les 25
Schoorvoetig ;slenteren, Aarzelend, met tegenzin.;Hij liep {{schoorvoetig}} naar de directeurom gestraft te worden.; Ze stapte {{schoorvoetig}} het podium op, bang om te falen.; Ze ging {{schoorvoetig}} akkoord met het voorstel, al had ze haar twijfels.;Les 25
Tobben ;piekeren, Veel nadenken over zorgen, malen.;Ze {{tobde}} al dagen over haar keuze.; Hij {{tobde}} de hele avond over wat hij fout had gedaan.; Hij {{tobde}} de hele nacht over de keuze die hij de volgende dag moest maken.;Les 25
Afzijn valt te bang ;zwaar vallen, Iets dat moeilijk te accepteren of te verdragen is.;Het afscheid viel hem zwaar.; Het vertrek van haar beste vriendin naar het buitenland {{viel haar zwaar}}.; De verantwoordelijkheid van zijn nieuwe functie {{viel hem zwaar}}.;Les 25
Mishagen ;iets staat iemand tegen of bevalt iemand niet, iets wekt afkeer of ongenoegen op, ongenoegen;Het {{mishaagde}} hem dat niemand naar hem luisterde.; Het {{mishaagde}} haar dat de beslissing zonder overleg was genomen.; Het {{mishaagde}} de burgemeester dat de pers zijn woorden verdraaid had.;Les 25
Essentie;Het belangrijkste, Het meest wezenlijke of centrale punt.;De leraar vroeg ons de {{essentie}} van de tekst samen te vatten in twee zinnen.; Wat is de {{essentie}} van dit betoog: wat wil de auteur nu eigenlijk zeggen?; Probeer in je samenvatting de {{essentie}} te bewaren zonder details toe te voegen.;Les 23
Sereen;Sober, Rustig, kalm en zonder overdreven gevoelens.;Ze reageerde {{sereen}} op het slechte nieuws.; Ondanks de chaos om haar heen bleef ze {{sereen}} en gefocust.; Het landschap lag er {{sereen}} bij in het vroege ochtendlicht.;Les 23
Gedupeerde;Het slachtoffer, Iemand die schade heeft geleden of benadeeld is.;De {{gedeputeerde}} ontvingen een schadevergoeding voor de schade die ze geleden hadden.; De {{gedupeerden}} van de datadiefstal werden per brief op de hoogte gebracht.; De organisatie bood excuses aan alle {{gedupeerden}} voor de fouten in de planning.;Les 23
Potentieel;Mogelijk, Wat mogelijk zou kunnen worden, latent aanwezig.;Hij is een {{potentieel}} talent voor het team.; De regio heeft enorm {{potentieel}} op het vlak van duurzame energie.; Ze zag onmiddellijk het {{potentieel}} van het verlaten gebouw als culturele ruimte.;Les 23
Heisa;De hevige discussie , Een felle ruzie of opwinding over een kwestie.;De nieuwe wet zorgde voor heel wat {{heisa.}}; Het plotselinge vertrek van de directeur veroorzaakte een enorme heisa in het bedrijf; De rel over de uitspraken van de coach zorgde voor onnodige {{heisa}} in de media.;Les 23
Hetze;De hevige discussie , Een felle ruzie of opwinding over een kwestie.;Volgens de politicus wordt er in de media een {{hetze}} tegen hem gevoerd om zijn geloofwaardigheid te ondermijnen.; De uitspraken van de minister veroorzaakten meteen grote {{hetze}} in de pers.;De {{hetze}} in de media werd de wethouder uiteindelijk fataal, waardoor hij gedwongen werd op te stappen.;Les 23
Peiler;Het fundament, De grondslag of steunpilaar van iets.;Vertrouwen is een {{peiler}} van elke goede relatie.; Gelijkheid voor de wet is een essentiële {{peiler}} van elke rechtsstaat.; Solidariteit is een belangrijke {{peiler}} van onze samenleving.;Les 23
Assertief;Niet bang om voor zichzelf op te komen en te zeggen wat je denkt.;Een {{assertieve}} medewerker spreekt zijn mening uit tijdens vergaderingen.; Ze leerde tijdens de training hoe ze {{assertiever}} kon reageren zonder agressief te worden.; Door {{assertief}} te communiceren vermijd je dat anderen over je grenzen gaan.;Les 8
Impulsief;Iemand die dingen doet zonder er eerst over na te denken.;Zijn {{impulsieve}} aankoop van een nieuwe fiets betreurde hij achteraf.; Zijn {{impulsieve}} beslissing om te stoppen met school betreurde hij later.; Ze reageerde zo {{impulsief}} dat ze achteraf spijt had van wat ze gezegd had.;Les 8
Hypocriet;Schijnheilig, anders doen dan je zegt of gelooft.;Het is {{hypocriet}} om anderen te bekritiseren terwijl je hetzelfde doet.; Hij noemde anderen lui, terwijl hij zelf nooit op tijd was ; Het is {{hypocriet}} om milieubewustzijn te prediken en zelf elke week te vliegen.;Les 8
Neerslachtig;Verdrietig en somber gestemd.;Na het verlies was het hele team {{neerslachtig}} .; Na de afwijzing voor de job was ze dagenlang {{neerslachtig}}.; De lange winter maakte hem steeds {{neerslachtiger}} en energieloos.;Les 8
Teruggetrokken;Iemand die eerder op zichzelf is en zich op de achtergrond houdt.;Als kind was ze vrij {{teruggetrokken}} en speelde ze liever alleen.; Sinds zijn scheiding was hij steeds {{teruggetrokkener}} geworden.; Na het conflict met zijn vrienden werd hij {{teruggetrokken}} en vermeed hij sociaal contact.;Les 8
Materialistisch;Iemand die veel belang hecht aan geld en bezit.;Hij is zo {{materialistisch}} dat hij vriendschappen beoordeelt op hun nut.; Ze vond hem te {{materialistisch}}: hij sprak alleen over geld en bezittingen.; Ze vond het {{materialistische}} wereldbeeld van haar omgeving moeilijk te begrijpen.;Les 8
Eigenzinnig;Koppig, iemand die zijn eigen zin doet.;De {{eigenzinnige}} kunstenaar weigerde zijn stijl aan te passen.; De {{eigenzinnige}} chef kookte altijd zonder recept en naar eigen inzicht.; De {{eigenzinnige}} leerling weigerde de aangeboden structuur te volgen en zocht zijn eigen weg.;Les 8
Dominant;Aanwezig en zelfzeker, de overhand hebben.;In de discussie nam zij een {{dominante}} rol in.; De oudste broer had een {{dominante}} rol binnen het gezin.; De {{dominante}} toon in zijn e-mail zorgde voor irritatie bij zijn collega's.;Les 8
Zwijgzaam;Iemand die niet veel zegt.;Hij is van nature {{zwijgzaam}} , maar zijn woorden zijn altijd doordacht.; De nieuwe collega was zo {{zwijgzaam}} dat niemand goed wist wat hij dacht.; Ze was opvallend {{zwijgzaam}} tijdens het familiediner, wat iedereen opviel.;Les 8
Luidruchtig;Lawaaierig, veel geluid makend.;De {{luidruchtige}} groep toeristen stoorde de andere hotelgasten.; De {{luidruchtige}} buren maakten het onmogelijk om te studeren.; De {{luidruchtige}} discussie in de gang stoorde de lessen in de aangrenzende klaslokalen.;Les 8
Nors;Onvriendelijk en bits in houding of toon.;De {{norse}} buurman groet nooit als hij voorbijkomt.; De {{norse}} portier liet niemand door zonder identiteitsbewijs.; Ze gaf een {{norse}} reactie toen hij haar vroeg of ze hulp nodig had.;Les 8
Flexibel;Iemand die zich gemakkelijk aanpast aan nieuwe situaties.;Je moet {{flexibel}} zijn als je in een nieuw land gaat wonen.; Wie {{flexibel}} omgaat met tegenslagen, herstelt sneller na een mislukking.; Een {{flexibele}} werkplanning maakt het makkelijker om werk en privé in balans te houden.;Les 8
Prikkelbaar;Gevoelig en snel geïrriteerd.;Als hij moe is, is hij erg {{prikkelbaar}} .; Door de aanhoudende stress was ze de laatste weken erg {{prikkelbaar}}.; Na drie dagen intensief studeren was hij zo {{prikkelbaar}} dat hij elk gesprek uit de weg ging.;Les 8
Scherpzinnig;Intelligent en scherp van geest.;Haar {{scherpzinnige}} analyse loste het probleem meteen op.; Zijn {{scherpzinnige}} vragen maakten duidelijk dat hij de stof grondig beheerste.; De {{scherpzinnige}} lezer merkte meteen dat het verhaal een tweede betekenislaag had.;Les 8
Bescheiden;Iemand die niet opschept over zijn prestaties.;Ondanks zijn succes bleef hij heel {{bescheiden}} .; Ze was zo {{bescheiden}} dat ze haar eigen prestaties altijd kleineerde.; Hoewel hij de beste van zijn klas was, bleef hij opvallend {{bescheiden}} over zijn resultaten.;Les 8
Volgzaam;Gehoorzaam, iemand die gemakkelijk de leider volgt.;De {{volgzame}} leerling deed altijd precies wat de juf vroeg.; Een te {{volgzame}} houding kan gevaarlijk zijn als de leider de verkeerde richting uitgaat.; Een {{volgzame}} houding lijkt veilig, maar kan leiden tot het blindelings uitvoeren van slechte beslissingen.;Les 8
Welbespraakt;Iemand die vlot en goed kan spreken.;De {{welbespraakte}} politicus overtuigde het publiek moeiteloos.; De {{welbespraakte}} advocate wist de jury met haar woorden te overtuigen.; De {{welbespraakte}} studente legde het ingewikkelde concept moeiteloos uit aan haar klasgenoten.;Les 8
Wispelturig;Besluiteloos, vaak van mening of humeur veranderend.;Door zijn {{wispelturige}} karakter wist niemand wat hij zou beslissen.; Zijn {{wispelturig}} gedrag maakte samenwerken erg moeilijk.; Door zijn {{wispelturig}} karakter was het moeilijk om langetermijnafspraken met hem te maken.;Les 8
Bedachtzaam;Voorzichtig en goed nadenkend over alles.;Ze nam op een {{bedachtzame}} manier een moeilijke beslissing.; De {{bedachtzame}} rechter las het dossier grondig voor hij uitspraak deed.; Ze gaf een {{bedachtzame}} reactie in plaats van meteen in de verdediging te schieten.;Les 8
Ambitieus;Iemand die veel wil bereiken in het leven.;De {{ambitieuze}} student wil later dokter worden.; De {{ambitieuze}} ondernemer wilde binnen vijf jaar een internationaal bedrijf leiden.; De {{ambitieuze}} jonge journalist wilde binnen twee jaar een eigen rubriek leiden.;Les 8
Charismatisch;Iemand met een innemende en aantrekkelijke uitstraling.;De {{charismatische}} leider wist iedereen te motiveren.; De {{charismatische}} spreker had het publiek meteen in zijn ban.; De {{charismatische}} leraar wist leerlingen te boeien die normaal nooit geïnteresseerd waren.;Les 8
Rationeel;Nuchter, handelen op basis van feiten en logica.;Ze nam een {{rationele}} beslissing en liet haar emoties opzij.; Hij benaderde het probleem {{rationeel}} en liet zijn gevoel buiten beschouwing.; Ze probeerde {{rationeel}} te blijven, maar de emoties namen het over.;Les 8
Gedisciplineerd;Ordelijk en in staat zich goed aan een planning te houden.;Een {{gedisciplineerde}}  sporter traint elke dag, ook als hij het moeilijk heeft.; Ze was zo {{gedisciplineerd}} dat ze elke ochtend om zes uur opstond om te studeren.; Alleen wie echt {{gedisciplineerd}} is, slaagt erin gezonde gewoontes vol te houden.;Les 8
Kruin ;haar, Het bovenste deel van het hoofd, de top van de schedel.;Ze had een kale plek op haar {{kruin}}.; De baby had maar een paar haren op zijn {{kruin}}.; Hij voelde de warme zon op zijn {{kruin}} terwijl hij in de tuin werkte.;Les 8
Bakkebaarden ;baard, Baard die langs de wangen groeit, zonder snor.;De oude man had imposante {{bakkebaarden}}.; De acteur had zich {{bakkebaarden}} laten groeien voor zijn rol als victoriaanse lord.; De historische figuur op het portret had brede {{bakkebaarden}} en een strenge blik.;Les 8
Kraaienpootjes;Kleine rimpeltjes bij de ooghoeken.;Als hij lacht, zie je de {{kraaienpootjes}} bij zijn ogen.; De {{kraaienpootjes}} rond haar ogen gaven haar gezicht een vriendelijke uitstraling.; Ze lachte zo vaak en zo hartelijk dat de {{kraaienpootjes}} rond haar ogen diep ingegroefd waren.;Les 8
Jukbeender ;bij de kaak, Het uitstekende botstuk van de wang.;Ze heeft hoge {{jukbeenderen}}, wat haar gezicht elegant maakt.; Door zijn hoge {{jukbeenderen}} had hij een markant, sculpturaal gezicht.; De fotograaf zocht modellen met uitgesproken {{jukbeenderen}} voor de campagne.;Les 8
Broos ;teer / frêle, Kwetsbaar, teer en licht breekbaar.;De oude vrouw zag er {{broos}} maar vastberaden uit.; Het {{broze}} meisje zag er kwetsbaar uit, maar bleek mentaal heel sterk.; De {{broze}} tak brak zodra hij er zijn gewicht op zette.;Les 8
Corpulent ;zwaarlijvig / gezet, Zwaar gebouwd, met veel lichaamsgewicht.;De {{corpulente}} man vulde de hele stoel.; De {{corpulente}} man bewoog zich traag maar zelfverzekerd door de ruimte.; De {{corpulente}} figuur in de roman wordt beschreven als goedmoedig en vrolijk.;Les 8
Verbleekt ;vaal / flets, Kleurloos geworden, bleek van tint.;Na de ziekte zag ze er {{verbleekt}} en moe uit.; Zijn {{verbleekte}} gezicht verried dat hij slecht nieuws had gekregen.; De oude foto was zo {{verbleekt}} dat de gezichten nauwelijks nog te herkennen waren.;Les 8
Getaand ;bruingeel / verweerd, Gebruind of verweerd door zon en buitenlucht.;De zeeman had een {{getaand}}, rimpelig gezicht.; Het {{getaande}} gelaat van de boer vertelde een verhaal van jarenlang buitenwerk.; Zijn {{getaande}} huid en eeltige handen verrieden een leven vol buitenwerk.;Les 8
Activeren;Iets in werking stellen of iemand tot actie aanzetten.;De leraar {{activeerde}} de voorkennis van de leerlingen.; Het muziekfragment werd gebruikt om de fantasie van de leerlingen te {{activeren}}.; Door een provocerende vraag te stellen, kun je de kritische denkvaardigheden van leerlingen {{activeren}}.;Les 35
Afkomstig zijn;Ergens vandaan komen, zijn oorsprong hebben in.;Dit recept {{is afkomstig}} uit de italiaanse keuken.; Het woord 'robot' {{is afkomstig}} uit het Tsjechisch.; De techniek {{is afkomstig}} uit de Japanse kalligrafie en werd later overgenomen in de westerse kunst.;Les 35
Anekdote ;kortverhaal, Een kort, grappig of opmerkelijk verhaaltje.;Hij begon zijn toespraak met een grappige {{anekdote}}.; De professor illustreerde zijn punt met een grappige {{anekdote}} over zijn eerste experiment.; Ze begon haar lezing met een persoonlijke {{anekdote}} die het publiek meteen aan het lachen kreeg.;Les 35
Zich baseren op;Iets als uitgangspunt nemen.;De conclusie {{baseert zich op}} wetenschappelijk onderzoek.; Zijn oordeel {{baseert zich op}} jarenlange ervaring in het veld.; De aanbevelingen {{baseren zich op}} een grootschalig onderzoek bij meer dan tienduizend deelnemers.;Les 35
Beduidend ;opmerkelijk, Duidelijk merkbaar, aanzienlijk.;Er is een {{beduidend}} verschil tussen de twee resultaten.; De nieuwe aanpak leverde {{beduidend}} betere resultaten op dan verwacht.; De kwaliteit van zijn werk is {{beduidend}} verbeterd sinds hij regelmatig feedback krijgt.;Les 35
Beschrijving;Een tekstuele weergave van hoe iets eruitziet of werkt.;De {{beschrijving}} van het personage was erg gedetailleerd.; De {{beschrijving}} van de omgeving in de roman was zo levendig dat je er bijna in waande.; De getuige gaf een gedetailleerde {{beschrijving}} van de man die hij had zien weglopen.;Les 35
Botsen op;Stuiten op een probleem of weerstand.;Het project {{botste op}} heel wat praktische problemen.; Bij de uitvoering van het plan {{botsten}} ze al snel {{op}} bureaucratische obstakels.; Bij het uitwerken van het idee {{botsten}} ze {{op}} een technisch probleem dat ze niet hadden voorzien.;Les 35
Consequent ;vaak, Steeds op dezelfde manier handelend, logisch doorgetrokken.;Ze werkt {{consequent}} aan haar doelen.; Ze past haar eigen regels {{consequent}} toe, ook als het haar zelf niet uitkomt.; Ze paste haar principes {{consequent}} toe, ook als dat haar minder populair maakte.;Les 35
Geloofwaardig;Te geloven of te vertrouwen, betrouwbaar overkomend.;Een {{geloofwaardige}} getuige is belangrijk in een rechtszaak.; Om {{geloofwaardig}} over te komen, moet je standpunt onderbouwd zijn met feiten.; Een {{geloofwaardige}} spreker baseert zich op feiten en durft ook twijfel toe te geven.;Les 35
Geneigd zijn ;aangetrokken tot, De neiging of voorkeur hebben om iets te doen.;Ik {{ben geneigd}} om te zeggen dat hij gelijk heeft.; Ik {{ben geneigd}} zijn uitleg te geloven, al zijn er nog vragen.; Ik {{ben geneigd}} te denken dat hij de waarheid spreekt, maar ik heb nog geen bewijs.;Les 35
Genuanceerd ;goed bij nadenken, Met aandacht voor details en verschillende invalshoeken.;Zijn {{genuanceerde}} reactie verraste iedereen.; Een {{genuanceerd}} antwoord houdt rekening met meerdere perspectieven tegelijk.; Een {{genuanceerde}} kijk op geschiedenis houdt rekening met zowel daders als slachtoffers.;Les 35
Invloed;De kracht waarmee iets of iemand anderen of situaties beïnvloedt.;De {{nvloed}} van de media op de publieke opinie is groot.; De {{invloed}} van de Renaissance op de Europese kunst is tot op vandaag voelbaar.; De {{invloed}} van zijn mentor op zijn loopbaan was groter dan hij zelf besefte.;Les 35
Introduceren;Iemand of iets voor de eerste keer voorstellen.;De leraar {{introduceerde}} een nieuw onderwerp.; De auteur {{introduceert}} al in de eerste zin het centrale conflict van de roman.; De schrijver {{introduceert}} het thema van verraad al subtiel in de openingsscène.;Les 35
Opzicht;Een aspect of gezichtspunt van iets.;In dat {{opzicht}} heeft hij zeker gelijk.; In elk {{opzicht}} voldeed het project aan de verwachtingen.; In dat {{opzicht}} verschilt zijn aanpak sterk van die van zijn voorganger.;Les 35
Representatief;Typerend of kenmerkend voor een groter geheel.;De steekproef was {{representatief}} voor de hele bevolking.; Eén getuigenis is niet {{representatief}} voor de ervaringen van een hele groep.; De enquête was te klein om {{representatief}} te zijn voor de volledige bevolking.;Les 35
